2026/09/17 01:11,#genre#

央视频道,#genre#
CCTV10,http://120.70.60.179:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://110.241.188.169:808/hls/10/index.m3u8
CGTN俄语,http://120.70.60.179:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.199.133:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.197.184:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.199.106:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.197.62:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.198.165:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.199.207:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.199.44:7777/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.232.197.250:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://110.241.188.169:808/hls/11/index.m3u8
CCTV12,http://221.232.199.133:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.232.197.184:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.232.197.62:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.232.198.165:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.232.199.207:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.232.199.44:7777/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://110.241.188.169:808/hls/12/index.m3u8
CCTV13,http://221.232.199.133:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.197.184:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.199.106:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.197.62:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.198.165:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.199.207:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.199.44:7777/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.232.197.250:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://110.241.188.169:808/hls/13/index.m3u8
CCTV14,http://221.232.199.133:7777/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
